"Date","Transaction ID","Transaction Type","Currency","Amount","Fee","Net Amount","Asset Type","Asset Price","Asset Amount","Status","Notes","Name of sender/receiver","Account"
"2026-06-05 16:06:43 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","DAL","$79.40","0.12594","WAITING_ON_EXTERNAL","Scheduled $10 Purchase of Delta Air Lines","","Cash Balance"
"2026-06-05 16:06:09 EDT","","Deposits","USD","$100.00","$0.00","$100.00","","","","COMPLETE","Add Cash","","Visa debit 3333"
"2026-06-04 12:58:08 EDT","","Deposits","USD","$100.00","$0.00","$100.00","","","","FAILED","Add Cash","","Visa debit 3333"
"2026-06-04 09:36:20 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","WFC","$80.13","0.12479","COMPLETE","$10 Purchase of Wells Fargo","","Cash Balance"
"2026-06-04 09:31:36 EDT","","Stock Buy","USD","-$20.00","$0.00","-$20.00","XYZ","$70.84","0.28232","COMPLETE","$20 Purchase of Block","","Cash Balance"
"2026-06-04 09:30:48 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","SAP","$191.55","0.0522","COMPLETE","$10 Purchase of SAP","","Cash Balance"
"2026-06-04 09:30:24 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","META","$624.43","0.01601","COMPLETE","$10 Purchase of Meta","","Cash Balance"
"2026-06-04 09:30:21 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","IBM","$309.06","0.03235","COMPLETE","$10 Purchase of IBM","","Cash Balance"
"2026-06-04 09:30:20 EDT","","","USD","$10.01","$0.00","$10.01","EMB","$96.15","0.10416","COMPLETE","$10.01 Sale of iShares JP Morgan USD Emerging Markets Bond ETF","","Cash Balance"
"2026-06-04 09:30:20 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","SHOP","$115.98","0.08622","COMPLETE","$10 Purchase of Shopify","","Cash Balance"
"2026-06-04 09:30:18 EDT","","Stock Buy","USD","-$5.00","$0.00","-$5.00","INTC","$108.42","0.04611","COMPLETE","$5 Purchase of Intel","","Cash Balance"
"2026-06-04 09:30:18 EDT","","Stock Buy","USD","-$9.99","$0.00","-$9.99","CRWD","$678.00","0.01474","COMPLETE","$9.99 Purchase of CrowdStrike","","Cash Balance"
"2026-06-04 09:30:18 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","PZZA","$32.34","0.30921","COMPLETE","$10 Purchase of Papa John's","","Cash Balance"
"2026-06-04 09:30:18 EDT","","Stock Buy","USD","-$5.00","$0.00","-$5.00","UBER","$72.92","0.06856","COMPLETE","$5 Purchase of Uber Technologies","","Cash Balance"
"2026-06-04 09:30:17 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","ALLY","$41.48","0.24108","COMPLETE","$10 Purchase of Ally Financial","","Cash Balance"
"2026-06-04 09:30:17 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","COIN","$164.22","0.06089","COMPLETE","$10 Purchase of Coinbase","","Cash Balance"
"2026-06-04 09:30:16 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","INTU","$320.48","0.0312","COMPLETE","$10 Purchase of Intuit","","Cash Balance"
"2026-06-04 09:30:15 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","DASH","$155.49","0.06431","COMPLETE","$10 Purchase of DoorDash","","Cash Balance"
"2026-06-04 09:30:14 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","HOOD","$83.25","0.12012","COMPLETE","$10 Purchase of Robinhood Markets","","Cash Balance"
"2026-06-04 09:30:13 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","MCD","$277.80","0.03599","COMPLETE","$10 Purchase of McDonald's","","Cash Balance"
"2026-06-04 09:30:12 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","CRCL","$90.81","0.11012","COMPLETE","$10 Purchase of Circle","","Cash Balance"
"2026-06-04 09:30:11 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","AMZN","$253.10","0.03951","COMPLETE","$10 Purchase of Amazon","","Cash Balance"
"2026-06-04 09:30:09 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","OKTA","$122.75","0.08146","COMPLETE","$10 Purchase of Okta","","Cash Balance"
"2026-06-04 09:30:07 EDT","","","USD","$10.21","$0.00","$10.21","OWL","$9.79","1.04329","COMPLETE","$10.21 Sale of Blue Owl Capital","","Cash Balance"
"2026-06-04 09:30:06 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","PLTR","$145.63","0.06866","COMPLETE","$10 Purchase of Palantir Technologies","","Cash Balance"
"2026-06-04 09:30:04 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","TTD","$21.01","0.47596","COMPLETE","$10 Purchase of Trade Desk","","Cash Balance"
"2026-06-04 09:30:03 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","Z","$36.36","0.27502","COMPLETE","$10 Purchase of Zillow Class C","","Cash Balance"
"2026-06-04 09:30:03 EDT","","","USD","$9.87","$0.00","$9.87","KWEB","$27.27","0.36205","COMPLETE","$9.87 Sale of KraneShares Trust KraneShares CSI China Internet ETF","","Cash Balance"
"2026-06-04 09:30:02 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","ZG","$36.25","0.27586","COMPLETE","$10 Purchase of Zillow Class A","","Cash Balance"
"2026-06-04 09:30:00 EDT","","","USD","$10.10","$0.00","$10.10","NOBL","$54.04","0.18695","COMPLETE","$10.10 Sale of ProShares S&P 500 Dividend Aristocrats ETF","","Cash Balance"
"2026-06-04 06:26:38 EDT","","Deposits","USD","$100.00","$0.00","$100.00","","","","FAILED","Add Cash","","Visa debit 3333"
"2026-06-04 03:41:38 EDT","","Deposits","USD","$100.00","$0.00","$100.00","","","","FAILED","Add Cash","","Visa debit 3333"
"2026-06-03 20:28:18 EDT","","Deposits","USD","$50.00","$0.00","$50.00","","","","FAILED","Add Cash","","Visa debit 5895"
"2026-06-03 20:27:32 EDT","","Deposits","USD","$50.00","$0.00","$50.00","","","","FAILED","Add Cash","","Visa debit 3333"
"2026-06-03 20:11:27 EDT","","Deposits","USD","$100.00","$0.00","$100.00","","","","FAILED","Add Cash","","Visa debit 3333"
"2026-06-03 19:07:23 EDT","","Deposits","USD","$100.00","$0.00","$100.00","","","","FAILED","Add Cash","","Visa debit 3333"
"2026-06-03 17:59:53 EDT","","Deposits","USD","$100.00","$0.00","$100.00","","","","FAILED","Add Cash","","Visa debit 3333"
"2026-06-03 16:11:28 EDT","","Deposits","USD","$100.00","$0.00","$100.00","","","","COMPLETE","Add Cash","","Visa debit 3333"
"2026-06-03 15:55:46 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","DKS","$224.36","0.04457","COMPLETE","$10 Purchase of Dick's Sporting Goods","","Cash Balance"
"2026-06-03 15:54:07 EDT","","Deposits","USD","$100.00","$0.00","$100.00","","","","FAILED","Add Cash","","Visa debit 3333"
"2026-06-03 15:53:34 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","MSGS","$382.58","0.02613","COMPLETE","$10 Purchase of Madison Square Garden","","Cash Balance"
"2026-06-03 15:51:59 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","MCD","$273.70","0.03653","COMPLETE","$10 Purchase of McDonald's","","Cash Balance"
"2026-06-03 15:48:53 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","EWY","$212.30","0.0471","COMPLETE","$10 Purchase of iShares MSCI South Korea ETF","","Cash Balance"
"2026-06-03 15:46:16 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","VHT","$275.16","0.03634","COMPLETE","$10 Purchase of Vanguard Health Care ETF","","Cash Balance"
"2026-06-03 15:45:45 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","DBX","$27.67","0.36141","COMPLETE","$10 Purchase of Dropbox","","Cash Balance"
"2026-06-03 15:44:18 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","TM","$180.19","0.05549","COMPLETE","$10 Purchase of Toyota Motor","","Cash Balance"
"2026-06-03 15:43:57 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","HMC","$27.76","0.36024","COMPLETE","$10 Purchase of Honda Motor","","Cash Balance"
"2026-06-03 15:43:32 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","H","$186.36","0.05365","COMPLETE","$10 Purchase of Hyatt Hotels Corporation","","Cash Balance"
"2026-06-03 15:43:16 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","GM","$82.16","0.12171","COMPLETE","$10 Purchase of General Motors","","Cash Balance"
"2026-06-03 15:41:22 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","MRK","$115.06","0.08691","COMPLETE","$10 Purchase of Merck","","Cash Balance"
"2026-06-03 15:40:58 EDT","","Stock Buy","USD","-$25.00","$0.00","-$25.00","PSKY","$10.51","2.37891","COMPLETE","$25 Purchase of Paramount Skydance","","Cash Balance"
"2026-06-03 15:39:35 EDT","","Deposits","USD","$200.00","$0.00","$200.00","","","","COMPLETE","Add Cash","","Visa debit 3333"
"2026-06-03 15:39:17 EDT","","Stock Buy","USD","-$20.00","$0.00","-$20.00","AMD","$543.37","0.0368","COMPLETE","$20 Purchase of Advanced Micro Devices","","Cash Balance"
